Date,Open,High,Low,Close,Adj Close,Volume
2006-09-11,31.240000,31.240000,31.240000,31.240000,24.752138,0
2006-09-12,31.610001,31.610001,31.610001,31.610001,25.045303,0
2006-09-13,31.760000,31.760000,31.760000,31.760000,25.164143,0
2006-09-14,31.700001,31.700001,31.700001,31.700001,25.116606,0
2006-09-15,31.780001,31.780001,31.780001,31.780001,25.179996,0
2006-09-18,31.809999,31.809999,31.809999,31.809999,25.203762,0
2006-09-19,31.730000,31.730000,31.730000,31.730000,25.140375,0
2006-09-20,31.910000,31.910000,31.910000,31.910000,25.282995,0
2006-09-21,31.730000,31.730000,31.730000,31.730000,25.140375,0
2006-09-22,31.500000,31.500000,31.500000,31.500000,25.052889,0
2006-09-25,31.780001,31.780001,31.780001,31.780001,25.275591,0
2006-09-26,32.000000,32.000000,32.000000,32.000000,25.450556,0
2006-09-27,32.040001,32.040001,32.040001,32.040001,25.482368,0
2006-09-28,32.090000,32.090000,32.090000,32.090000,25.522141,0
2006-09-29,32.000000,32.000000,32.000000,32.000000,25.450556,0
2006-10-02,31.860001,31.860001,31.860001,31.860001,25.339207,0
2006-10-03,31.900000,31.900000,31.900000,31.900000,25.371021,0
2006-10-04,32.320000,32.320000,32.320000,32.320000,25.705061,0
2006-10-05,32.459999,32.459999,32.459999,32.459999,25.816406,0
2006-10-06,32.360001,32.360001,32.360001,32.360001,25.736876,0
2006-10-09,32.419998,32.419998,32.419998,32.419998,25.784590,0
2006-10-10,32.500000,32.500000,32.500000,32.500000,25.848219,0
2006-10-11,32.400002,32.400002,32.400002,32.400002,25.768694,0
2006-10-12,32.750000,32.750000,32.750000,32.750000,26.047056,0
2006-10-13,32.840000,32.840000,32.840000,32.840000,26.118633,0
2006-10-16,32.959999,32.959999,32.959999,32.959999,26.214075,0
2006-10-17,32.820000,32.820000,32.820000,32.820000,26.102730,0
2006-10-18,32.849998,32.849998,32.849998,32.849998,26.126585,0
2006-10-19,32.900002,32.900002,32.900002,32.900002,26.166351,0
2006-10-20,32.889999,32.889999,32.889999,32.889999,26.158409,0
2006-10-23,33.070000,33.070000,33.070000,33.070000,26.301550,0
2006-10-24,33.080002,33.080002,33.080002,33.080002,26.309519,0
